source_ref,target_ref,relation,confidence,note,element_text
AI.II.A.R2,afh,explanation,auto,from the Task A References line,Hazardous attitudes.
AI.II.A.R2,aim,guidance,auto,from the Task A References line,Hazardous attitudes.
AI.II.A.R2,aviation-instructor,explanation,auto,from the Task A References line,Hazardous attitudes.
AI.II.A.R2,phak:ch02,explanation,verified,PHAK ch2 lists the five hazardous attitudes and antidotes; RMH ch3 treats them as identified hazards,Hazardous attitudes.
AI.II.A.R2,risk-management:ch03,explanation,verified,PHAK ch2 lists the five hazardous attitudes and antidotes; RMH ch3 treats them as identified hazards,Hazardous attitudes.
AI.II.A.R3,afh,explanation,auto,from the Task A References line,"Distractions, task prioritization, loss of situational awareness, or disorientation."
AI.II.A.R3,aim,guidance,auto,from the Task A References line,"Distractions, task prioritization, loss of situational awareness, or disorientation."
AI.II.A.R3,aviation-instructor,explanation,auto,from the Task A References line,"Distractions, task prioritization, loss of situational awareness, or disorientation."
AI.II.A.R3,phak:ch02,explanation,verified,Task saturation and loss of situational awareness are in PHAK ch2; RMH ch6 threat and error management covers the mechanism,"Distractions, task prioritization, loss of situational awareness, or disorientation."
AI.II.A.R3,risk-management:ch06,explanation,verified,Task saturation and loss of situational awareness are in PHAK ch2; RMH ch6 threat and error management covers the mechanism,"Distractions, task prioritization, loss of situational awareness, or disorientation."
AI.II.A.R4,afh,explanation,auto,from the Task A References line,Confirmation and expectation bias.
AI.II.A.R4,aim,guidance,auto,from the Task A References line,Confirmation and expectation bias.
AI.II.A.R4,aviation-instructor,explanation,auto,from the Task A References line,Confirmation and expectation bias.
AI.II.A.R4,phak:ch02,explanation,verified,"Confirmation and expectation bias are error types in RMH ch6, with the decision-making context in PHAK ch2",Confirmation and expectation bias.
AI.II.A.R4,risk-management:ch06,explanation,verified,"Confirmation and expectation bias are error types in RMH ch6, with the decision-making context in PHAK ch2",Confirmation and expectation bias.
AI.II.A.S1,afh,explanation,auto,from the Task A References line,Associate the symptoms and effects for at least three of the conditions listed in K1a through K1l with the cause(s) and corrective action(s).
AI.II.A.S1,aim:ch08-s01,guidance,verified,"The symptom, cause, and corrective action pairs come from PHAK ch17 and AIM 8-1",Associate the symptoms and effects for at least three of the conditions listed in K1a through K1l with the cause(s) and corrective action(s).
AI.II.A.S1,aviation-instructor,explanation,auto,from the Task A References line,Associate the symptoms and effects for at least three of the conditions listed in K1a through K1l with the cause(s) and corrective action(s).
AI.II.A.S1,phak:ch17,explanation,verified,"The symptom, cause, and corrective action pairs come from PHAK ch17 and AIM 8-1",Associate the symptoms and effects for at least three of the conditions listed in K1a through K1l with the cause(s) and corrective action(s).
AI.II.A.S1,risk-management,explanation,auto,from the Task A References line,Associate the symptoms and effects for at least three of the conditions listed in K1a through K1l with the cause(s) and corrective action(s).
AI.II.A.S2,afh,explanation,auto,from the Task A References line,"Perform self-assessment, including fitness for flight and personal minimums, for actual flight or a scenario given by the evaluator."
AI.II.A.S2,aim:ch08-s01,guidance,verified,AIM 8-1 fitness for flight includes the IMSAFE self-assessment; RMH ch2 is personal minimums,"Perform self-assessment, including fitness for flight and personal minimums, for actual flight or a scenario given by the evaluator."
AI.II.A.S2,aviation-instructor,explanation,auto,from the Task A References line,"Perform self-assessment, including fitness for flight and personal minimums, for actual flight or a scenario given by the evaluator."
AI.II.A.S2,phak,explanation,auto,from the Task A References line,"Perform self-assessment, including fitness for flight and personal minimums, for actual flight or a scenario given by the evaluator."
AI.II.A.S2,risk-management:ch02,explanation,verified,AIM 8-1 fitness for flight includes the IMSAFE self-assessment; RMH ch2 is personal minimums,"Perform self-assessment, including fitness for flight and personal minimums, for actual flight or a scenario given by the evaluator."
AI.II.B.K1,ac-90-48e,guidance,auto,from the Task B References line,Environmental conditions that degrade vision.
AI.II.B.K1,afh,explanation,auto,from the Task B References line,Environmental conditions that degrade vision.
AI.II.B.K1,aim:ch08-s01,guidance,verified,Conditions degrading vision in flight are in PHAK ch17 and AIM 8-1 vision section,Environmental conditions that degrade vision.
AI.II.B.K1,aviation-instructor,explanation,auto,from the Task B References line,Environmental conditions that degrade vision.
AI.II.B.K1,phak:ch17,explanation,verified,Conditions degrading vision in flight are in PHAK ch17 and AIM 8-1 vision section,Environmental conditions that degrade vision.
AI.II.B.K1,risk-management,explanation,auto,from the Task B References line,Environmental conditions that degrade vision.
AI.II.B.K2,ac-90-48e,guidance,auto,from the Task B References line,Vestibular and visual illusions.
AI.II.B.K2,afh,explanation,auto,from the Task B References line,Vestibular and visual illusions.
AI.II.B.K2,aim:ch08-s01,guidance,verified,Vestibular and visual illusions are in PHAK ch17 and AIM 8-1,Vestibular and visual illusions.
AI.II.B.K2,aviation-instructor,explanation,auto,from the Task B References line,Vestibular and visual illusions.
AI.II.B.K2,phak:ch17,explanation,verified,Vestibular and visual illusions are in PHAK ch17 and AIM 8-1,Vestibular and visual illusions.
AI.II.B.K2,risk-management,explanation,auto,from the Task B References line,Vestibular and visual illusions.
AI.II.B.K3,ac-90-48e,guidance,auto,from the Task B References line,“See and Avoid” responsibilities.
AI.II.B.K3,afh,explanation,auto,from the Task B References line,“See and Avoid” responsibilities.
AI.II.B.K3,aim:ch05-s05,guidance,verified,AIM 5-5 pilot and controller roles states the see and avoid responsibility; Task B lists no CFR part so 91.113 is out of scope,“See and Avoid” responsibilities.
AI.II.B.K3,aviation-instructor,explanation,auto,from the Task B References line,“See and Avoid” responsibilities.
AI.II.B.K3,phak,explanation,auto,from the Task B References line,“See and Avoid” responsibilities.
AI.II.B.K3,risk-management,explanation,auto,from the Task B References line,“See and Avoid” responsibilities.
AI.II.B.K4,ac-90-48e,guidance,auto,from the Task B References line,Visual scanning procedure and the importance of peripheral vision.
AI.II.B.K4,afh,explanation,auto,from the Task B References line,Visual scanning procedure and the importance of peripheral vision.
AI.II.B.K4,aim:ch08-s01,guidance,verified,Scanning technique and peripheral vision are described in AIM 8-1 and PHAK ch17,Visual scanning procedure and the importance of peripheral vision.
AI.II.B.K4,aviation-instructor,explanation,auto,from the Task B References line,Visual scanning procedure and the importance of peripheral vision.
AI.II.B.K4,phak:ch17,explanation,verified,Scanning technique and peripheral vision are described in AIM 8-1 and PHAK ch17,Visual scanning procedure and the importance of peripheral vision.
AI.II.B.K4,risk-management,explanation,auto,from the Task B References line,Visual scanning procedure and the importance of peripheral vision.
AI.II.B.K5,ac-90-48e,guidance,auto,from the Task B References line,Aircraft blind spots and clearing procedures.
AI.II.B.K5,afh:ch03,explanation,verified,Clearing procedures before maneuvers are in AFH ch3; blind spot discussion is in AIM 8-1,Aircraft blind spots and clearing procedures.
AI.II.B.K5,aim:ch08-s01,guidance,verified,Clearing procedures before maneuvers are in AFH ch3; blind spot discussion is in AIM 8-1,Aircraft blind spots and clearing procedures.
AI.II.B.K5,aviation-instructor,explanation,auto,from the Task B References line,Aircraft blind spots and clearing procedures.
AI.II.B.K5,phak,explanation,auto,from the Task B References line,Aircraft blind spots and clearing procedures.
AI.II.B.K5,risk-management,explanation,auto,from the Task B References line,Aircraft blind spots and clearing procedures.
AI.II.B.K6,ac-90-48e,guidance,auto,from the Task B References line,Visual cues of an impending mid-air collision.
AI.II.B.K6,afh,explanation,auto,from the Task B References line,Visual cues of an impending mid-air collision.
AI.II.B.K6,aim:ch08-s01,guidance,verified,The constant relative bearing and blossoming cues are described in AIM 8-1,Visual cues of an impending mid-air collision.
AI.II.B.K6,aviation-instructor,explanation,auto,from the Task B References line,Visual cues of an impending mid-air collision.
AI.II.B.K6,phak,explanation,auto,from the Task B References line,Visual cues of an impending mid-air collision.
AI.II.B.K6,risk-management,explanation,auto,from the Task B References line,Visual cues of an impending mid-air collision.
AI.II.B.K7,ac-90-48e,guidance,auto,from the Task B References line,Situations that create the greatest collision risk.
AI.II.B.K7,afh,explanation,auto,from the Task B References line,Situations that create the greatest collision risk.
AI.II.B.K7,aim:ch04-s03,guidance,verified,AIM 7-6 potential flight hazards covers collision risk situations; airport traffic areas are AIM 4-3,Situations that create the greatest collision risk.
AI.II.B.K7,aim:ch07-s06,guidance,verified,AIM 7-6 potential flight hazards covers collision risk situations; airport traffic areas are AIM 4-3,Situations that create the greatest collision risk.
AI.II.B.K7,aviation-instructor,explanation,auto,from the Task B References line,Situations that create the greatest collision risk.
AI.II.B.K7,phak,explanation,auto,from the Task B References line,Situations that create the greatest collision risk.
AI.II.B.K7,risk-management,explanation,auto,from the Task B References line,Situations that create the greatest collision risk.
AI.II.B.K8,ac-90-48e,guidance,auto,from the Task B References line,Division of attention inside and outside the aircraft.
AI.II.B.K8,afh:ch03,explanation,verified,Division of attention is taught with basic flight maneuvers in AFH ch3; scan discipline is AIM 8-1,Division of attention inside and outside the aircraft.
AI.II.B.K8,aim:ch08-s01,guidance,verified,Division of attention is taught with basic flight maneuvers in AFH ch3; scan discipline is AIM 8-1,Division of attention inside and outside the aircraft.
AI.II.B.K8,aviation-instructor,explanation,auto,from the Task B References line,Division of attention inside and outside the aircraft.
AI.II.B.K8,phak,explanation,auto,from the Task B References line,Division of attention inside and outside the aircraft.
AI.II.B.K8,risk-management,explanation,auto,from the Task B References line,Division of attention inside and outside the aircraft.
AI.II.B.R1,ac-90-48e,guidance,auto,from the Task B References line,Distractions to visual scanning.
AI.II.B.R1,afh,explanation,auto,from the Task B References line,Distractions to visual scanning.
AI.II.B.R1,aim:ch08-s01,guidance,verified,Distraction while instructing is AIH ch10; its effect on the scan is AIM 8-1,Distractions to visual scanning.
AI.II.B.R1,aviation-instructor:ch10,explanation,verified,Distraction while instructing is AIH ch10; its effect on the scan is AIM 8-1,Distractions to visual scanning.
AI.II.B.R1,phak,explanation,auto,from the Task B References line,Distractions to visual scanning.
AI.II.B.R1,risk-management,explanation,auto,from the Task B References line,Distractions to visual scanning.
AI.II.B.R2,ac-90-48e,guidance,auto,from the Task B References line,Relaxed intermediate focal distance.
AI.II.B.R2,afh,explanation,auto,from the Task B References line,Relaxed intermediate focal distance.
AI.II.B.R2,aim:ch08-s01,guidance,verified,Empty field myopia and relaxed focal distance are in PHAK ch17 and AIM 8-1,Relaxed intermediate focal distance.
AI.II.B.R2,aviation-instructor,explanation,auto,from the Task B References line,Relaxed intermediate focal distance.
AI.II.B.R2,phak:ch17,explanation,verified,Empty field myopia and relaxed focal distance are in PHAK ch17 and AIM 8-1,Relaxed intermediate focal distance.
AI.II.B.R2,risk-management,explanation,auto,from the Task B References line,Relaxed intermediate focal distance.
AI.II.B.R3,ac-90-48e,guidance,auto,from the Task B References line,High volume operational environments.
AI.II.B.R3,afh,explanation,auto,from the Task B References line,High volume operational environments.
AI.II.B.R3,aim:ch04-s03,guidance,verified,High density airport operations are AIM 4-3 airport operations,High volume operational environments.
AI.II.B.R3,aviation-instructor,explanation,auto,from the Task B References line,High volume operational environments.
AI.II.B.R3,phak,explanation,auto,from the Task B References line,High volume operational environments.
AI.II.B.R3,risk-management,explanation,auto,from the Task B References line,High volume operational environments.
AI.II.B.R4,ac-90-48e,guidance,auto,from the Task B References line,Collision reaction time.
AI.II.B.R4,afh,explanation,auto,from the Task B References line,Collision reaction time.
AI.II.B.R4,aim:ch08-s01,guidance,verified,Recognition and reaction time in the see and avoid concept is discussed in AIM 8-1,Collision reaction time.
AI.II.B.R4,aviation-instructor,explanation,auto,from the Task B References line,Collision reaction time.
AI.II.B.R4,phak,explanation,auto,from the Task B References line,Collision reaction time.
AI.II.B.R4,risk-management,explanation,auto,from the Task B References line,Collision reaction time.
AI.II.B.R5,ac-90-48e,guidance,auto,from the Task B References line,Use of a safety pilot.
AI.II.B.R5,afh,explanation,auto,from the Task B References line,Use of a safety pilot.
AI.II.B.R5,aim,guidance,auto,from the Task B References line,Use of a safety pilot.
AI.II.B.R5,aviation-instructor,explanation,auto,from the Task B References line,Use of a safety pilot.
AI.II.B.R5,phak,explanation,auto,from the Task B References line,Use of a safety pilot.
AI.II.B.R5,risk-management,explanation,auto,from the Task B References line,Use of a safety pilot.
AI.II.B.S1,ac-90-48e,guidance,auto,from the Task B References line,Effectively scan using short regularly spaced eye movements.
AI.II.B.S1,afh,explanation,auto,from the Task B References line,Effectively scan using short regularly spaced eye movements.
AI.II.B.S1,aim:ch08-s01,guidance,verified,The regularly spaced eye movement technique is specified in AIM 8-1 and PHAK ch17,Effectively scan using short regularly spaced eye movements.
AI.II.B.S1,aviation-instructor,explanation,auto,from the Task B References line,Effectively scan using short regularly spaced eye movements.
AI.II.B.S1,phak:ch17,explanation,verified,The regularly spaced eye movement technique is specified in AIM 8-1 and PHAK ch17,Effectively scan using short regularly spaced eye movements.
AI.II.B.S1,risk-management,explanation,auto,from the Task B References line,Effectively scan using short regularly spaced eye movements.
AI.II.B.S2,ac-90-48e,guidance,auto,from the Task B References line,Scan around physical obstructions.
AI.II.B.S2,afh,explanation,auto,from the Task B References line,Scan around physical obstructions.
AI.II.B.S2,aim:ch08-s01,guidance,verified,Scanning around obstructions is part of the AIM 8-1 scan technique,Scan around physical obstructions.
AI.II.B.S2,aviation-instructor,explanation,auto,from the Task B References line,Scan around physical obstructions.
AI.II.B.S2,phak,explanation,auto,from the Task B References line,Scan around physical obstructions.
AI.II.B.S2,risk-management,explanation,auto,from the Task B References line,Scan around physical obstructions.
AI.II.B.S3,ac-90-48e,guidance,auto,from the Task B References line,Use appropriate visual scanning techniques.
AI.II.B.S3,afh,explanation,auto,from the Task B References line,Use appropriate visual scanning techniques.
AI.II.B.S3,aim:ch08-s01,guidance,verified,Visual scanning techniques are in AIM 8-1 and PHAK ch17,Use appropriate visual scanning techniques.
AI.II.B.S3,aviation-instructor,explanation,auto,from the Task B References line,Use appropriate visual scanning techniques.
AI.II.B.S3,phak:ch17,explanation,verified,Visual scanning techniques are in AIM 8-1 and PHAK ch17,Use appropriate visual scanning techniques.
AI.II.B.S3,risk-management,explanation,auto,from the Task B References line,Use appropriate visual scanning techniques.
AI.II.B.S4,ac-90-48e,guidance,auto,from the Task B References line,"Use electronic traffic alert systems, if available."
AI.II.B.S4,afh,explanation,auto,from the Task B References line,"Use electronic traffic alert systems, if available."
AI.II.B.S4,aim:ch04-s05,guidance,verified,AIM 4-5 surveillance systems covers TIS and ADS-B traffic display services,"Use electronic traffic alert systems, if available."
AI.II.B.S4,aviation-instructor,explanation,auto,from the Task B References line,"Use electronic traffic alert systems, if available."
AI.II.B.S4,phak,explanation,auto,from the Task B References line,"Use electronic traffic alert systems, if available."
AI.II.B.S4,risk-management,explanation,auto,from the Task B References line,"Use electronic traffic alert systems, if available."
AI.II.C.K1,ac-91-73b,guidance,auto,from the Task C References line,Runway incursion definition.
AI.II.C.K1,afh,explanation,auto,from the Task C References line,Runway incursion definition.
AI.II.C.K1,aim:ch04-s03,guidance,verified,AIM 4-3 airport operations defines runway incursion; PHAK ch14 is airport operations,Runway incursion definition.
AI.II.C.K1,aviation-instructor,explanation,auto,from the Task C References line,Runway incursion definition.
AI.II.C.K1,phak:ch14,explanation,verified,AIM 4-3 airport operations defines runway incursion; PHAK ch14 is airport operations,Runway incursion definition.
AI.II.C.K1,risk-management,explanation,auto,from the Task C References line,Runway incursion definition.
AI.II.C.K2,ac-91-73b,guidance,auto,from the Task C References line,Taxi instructions/clearances.
AI.II.C.K2,afh,explanation,auto,from the Task C References line,Taxi instructions/clearances.
AI.II.C.K2,aim:ch04-s02,guidance,verified,Taxi clearance content is AIM 4-3; phraseology and readback are AIM 4-2,Taxi instructions/clearances.
AI.II.C.K2,aim:ch04-s03,guidance,verified,Taxi clearance content is AIM 4-3; phraseology and readback are AIM 4-2,Taxi instructions/clearances.
AI.II.C.K2,aviation-instructor,explanation,auto,from the Task C References line,Taxi instructions/clearances.
AI.II.C.K2,phak,explanation,auto,from the Task C References line,Taxi instructions/clearances.
AI.II.C.K2,risk-management,explanation,auto,from the Task C References line,Taxi instructions/clearances.
AI.II.C.K3,ac-91-73b,guidance,auto,from the Task C References line,The importance of recording taxi instructions and reviewing taxi routes on the airport diagram.
AI.II.C.K3,afh,explanation,auto,from the Task C References line,The importance of recording taxi instructions and reviewing taxi routes on the airport diagram.
AI.II.C.K3,aim:ch04-s03,guidance,verified,Writing down taxi instructions and reviewing the airport diagram are AIM 4-3 practices,The importance of recording taxi instructions and reviewing taxi routes on the airport diagram.
AI.II.C.K3,aviation-instructor,explanation,auto,from the Task C References line,The importance of recording taxi instructions and reviewing taxi routes on the airport diagram.
AI.II.C.K3,phak,explanation,auto,from the Task C References line,The importance of recording taxi instructions and reviewing taxi routes on the airport diagram.
AI.II.C.K3,risk-management,explanation,auto,from the Task C References line,The importance of recording taxi instructions and reviewing taxi routes on the airport diagram.
AI.II.C.K4,ac-91-73b,guidance,auto,from the Task C References line,"Airport markings, signs, and lights including the importance of hold lines associated with runways."
AI.II.C.K4,afh,explanation,auto,from the Task C References line,"Airport markings, signs, and lights including the importance of hold lines associated with runways."
AI.II.C.K4,aim:ch02-s01,guidance,verified,"Markings and signs are AIM 2-3, lighting aids AIM 2-1, and PHAK ch14 covers both with hold lines","Airport markings, signs, and lights including the importance of hold lines associated with runways."
AI.II.C.K4,aim:ch02-s03,guidance,verified,"Markings and signs are AIM 2-3, lighting aids AIM 2-1, and PHAK ch14 covers both with hold lines","Airport markings, signs, and lights including the importance of hold lines associated with runways."
AI.II.C.K4,aviation-instructor,explanation,auto,from the Task C References line,"Airport markings, signs, and lights including the importance of hold lines associated with runways."
